Level,Name,Inclusive Samples,Exclusive Samples,% Inclusive,% Exclusive,Details
10,mswsock.dll!WSPSend,28,0,0.0765027322404372,0,mswsock!WSPSend
11,ntdll.dll!NtDeviceIoControlFile,28,0,0.0765027322404372,0,ntdll!NtDeviceIoControlFile
12,ntoskrnl.exe!KiSystemServiceCopyEnd,27,0,0.0737704918032787,0,ntoskrnl!KiSystemServiceCopyEnd
13,ntoskrnl.exe!NtDeviceIoControlFile,27,0,0.0737704918032787,0,ntoskrnl!NtDeviceIoControlFile
14,ntoskrnl.exe!IopXxxControlFile,27,0,0.0737704918032787,0,ntoskrnl!IopXxxControlFile
15,afd.sys!AfdFastIoDeviceControl,21,1,0.0573770491803279,0.00273224043715847,afd!AfdFastIoDeviceControl
16,afd.sys!AfdFastConnectionSend,20,0,0.0546448087431694,0,afd!AfdFastConnectionSend
17,afd.sys!AfdTLStartBufferedVcSend,20,0,0.0546448087431694,0,afd!AfdTLStartBufferedVcSend
18,tcpip.sys!TcpTlConnectionSend,20,0,0.0546448087431694,0,tcpip!TcpTlConnectionSend
19,ntoskrnl.exe!KeExpandKernelStackAndCalloutEx,20,0,0.0546448087431694,0,ntoskrnl!KeExpandKernelStackAndCalloutEx
20,ntoskrnl.exe!KeExpandKernelStackAndCalloutInternal,20,0,0.0546448087431694,0,ntoskrnl!KeExpandKernelStackAndCalloutInternal
21,tcpip.sys!TcpTlConnectionSendCalloutRoutine,20,0,0.0546448087431694,0,tcpip!TcpTlConnectionSendCalloutRoutine
22,tcpip.sys!TcpEnqueueTcbSend,20,0,0.0546448087431694,0,tcpip!TcpEnqueueTcbSend
23,tcpip.sys!TcpTcbSend,18,1,0.0491803278688525,0.00273224043715847,tcpip!TcpTcbSend
24,tcpip.sys!IpNlpFastSendDatagram,13,0,0.0355191256830601,0,tcpip!IpNlpFastSendDatagram
25,tcpip.sys!IppSendDatagramsCommon,13,0,0.0355191256830601,0,tcpip!IppSendDatagramsCommon
26,tcpip.sys!IpNlpFastContinueSendLoopbackDatagrams,13,0,0.0355191256830601,0,tcpip!IpNlpFastContinueSendLoopbackDatagrams
27,tcpip.sys!IppLoopbackEnqueue,13,0,0.0355191256830601,0,tcpip!IppLoopbackEnqueue
28,ntoskrnl.exe!KeExpandKernelStackAndCalloutEx,13,0,0.0355191256830601,0,ntoskrnl!KeExpandKernelStackAndCalloutEx
29,ntoskrnl.exe!KeExpandKernelStackAndCalloutInternal,13,0,0.0355191256830601,0,ntoskrnl!KeExpandKernelStackAndCalloutInternal
30,ntoskrnl.exe!KiExpandKernelStackAndCalloutSwitchStack,13,0,0.0355191256830601,0,ntoskrnl!KiExpandKernelStackAndCalloutSwitchStack
31,ntoskrnl.exe!KiExpandKernelStackAndCalloutOnStackSegment,13,0,0.0355191256830601,0,ntoskrnl!KiExpandKernelStackAndCalloutOnStackSegment
